,Sharpe,CAGR
chuẩn,0.5259755002725099,0.0927200716265506
phí ×0 (chỉ để tham chiếu),0.5950801570885018,0.09981321018645017
phí ×2,0.4566900130820339,0.08567092218472272
phí ×4,0.31771473090963503,0.07170354271463775
trễ thực thi 2 phiên,0.539174626178176,0.09434201366020023
trễ thực thi 3 phiên,0.5922378732164102,0.09950257711702704
không cộng lãi tiền mặt,0.20282298383250133,0.06032568222053669
"bỏ ràng buộc T+2,5",0.5190961713972864,0.09199941794694344
vốn 10 tỷ (siết thanh khoản),0.5259755002725099,0.0927200716265506
