Chiến lược,CAGR,Độ biến động,Sharpe,Sortino,Calmar,Sụt giảm tối đa,Tỷ lệ phiên tăng,Lệnh mỗi năm,Phiên giữa hai lệnh,Quy mô lệnh trung bình,Tỷ lệ thời gian có vị thế,Tổng chi phí giao dịch
A10 · OLS,0.34144209005361636,0.18532588959139645,1.4404629080977316,2.014260757433332,1.2973875327636535,-0.2631766387690556,0.5952768729641694,123.6923076923077,2.037313432835821,0.19657798767087098,0.7610907610907611,0.592842294593229
B1b · LightGBM,0.37578931424061124,0.2149352498255108,1.3870753717012883,2.172292931696985,1.2353164336627758,-0.3042049016755787,0.5191368078175895,88.71794871794872,2.8404624277456647,0.1955901382198893,0.8982498982498982,0.422516790237068
B1a · Rừng ngẫu nhiên,0.3751939117909908,0.22217149520688023,1.3470365123493935,2.104265283829249,1.2137888128478085,-0.30910971317218316,0.5317589576547231,70.66666666666667,3.5660377358490565,0.18853186556517992,0.8945868945868946,0.3242907021485325
A10 · Ridge,0.2344255162240867,0.1866693603841263,0.9857165968375177,1.377107661738477,0.7832744241804773,-0.2992891239483032,0.5627035830618893,123.17948717948718,2.0457951706910906,0.2092003978501822,0.8115588115588116,0.628224059720488
A7 · Bứt phá kênh Donchian,0.19304349887464722,0.1964343006985521,0.7724512148492937,0.8747520917112259,0.5086542986220864,-0.37951807228915657,0.7239413680781759,22.76923076923077,11.067567567567568,0.1484769102545879,0.5466015466015466,0.0819357412869135
A11 · Logistic,0.102176882056354,0.07410319226790683,0.7559614299758011,0.5594816554894746,0.8047148999354646,-0.1269727726733384,0.8876221498371335,44.92307692307692,5.609589041095891,0.22674409230832746,0.2743182743182743,0.24788232645844038
A10 · Lasso,0.13387878108042184,0.2251351307375552,0.4749992244118843,0.6805438930956291,0.3286915199145705,-0.4073082905066062,0.508957654723127,81.12820512820512,3.106194690265487,0.19235770848255898,0.9369149369149369,0.3799611610772411
A6 · Momentum tuyệt đối 12–1,0.11415493888202,0.19892495639434507,0.42139222129311654,0.49414826404671375,0.41621092760524003,-0.27427184466019483,0.6640879478827362,24.205128205128204,10.411016949152541,0.22467156348505174,0.6239316239316239,0.132105373701529
A4 · Giao cắt trung bình động,0.12091907232320498,0.23074280297300345,0.41921516840365,0.5049958988318207,0.23696164176364634,-0.5102896461352754,0.627442996742671,17.025641025641026,14.801204819277109,0.15046137392440745,0.7260887260887261,0.06198320059305007
A3 · Nắm giữ điều tiết biến động,0.08915945555787563,0.11855818034348088,0.4082939908472479,0.6461022526491044,0.2106352993074846,-0.42328828952701325,0.5342019543973942,154.66666666666666,1.6293103448275863,0.03010318916960748,0.9914529914529915,0.1136253361698898
A8b · Cổ phiếu và thị trường cùng trên MA200,0.10498463214094889,0.18267234694477624,0.39672324848097434,0.4335786749779205,0.36574525880079745,-0.28704304325139207,0.6966612377850163,24.615384615384617,10.2375,0.15780156773177906,0.5417175417175417,0.09423293243816569
A7b · Hồi quy dải Bollinger,0.07088742158774908,0.14691069237707713,0.23971569982576968,0.20575724327623646,0.21647431054567629,-0.3274634362343506,0.8236970684039088,36.92307692307692,6.825,0.1117323525011115,0.30606430606430607,0.10050700928456448
A1 · Mua và nắm giữ FPT,0.07140572749185359,0.30834132000522185,0.23480739874498036,0.35074770566496993,0.09459621146627203,-0.7548476454293633,0.42833876221498374,0.10256410256410256,2457.0,1.0,0.9995929995929996,0.002
A8 · Lọc alpha CAPM,0.07086979033672636,0.24544897027096516,0.2222162529175046,0.27032789355455816,0.13031481092713004,-0.5438352696253046,0.6050488599348535,23.58974358974359,10.682608695652174,0.19162895804757538,0.7098087098087098,0.11020390034176555
A9 · Hồi quy đa nhân tố APT,-0.005064185348817918,0.22598711318962844,-0.10450699439811718,-0.1506442845147261,-0.007850638614108927,-0.645066675176809,0.48697068403908794,154.15384615384616,1.6347305389221556,0.21062826245202382,0.9361009361009361,0.7910633057481891
A5 · RSI đảo chiều,-0.007658342774266136,0.1361933212382909,-0.3116460261114027,-0.19668792380574163,-0.011012259229050305,-0.6954379310344831,0.9006514657980456,8.307692307692308,30.333333333333332,0.12384817565787129,0.16605616605616605,0.02509375590257403
