,Số phiên,Lợi suất quy năm,Sharpe,Mốc quy năm,Vượt mốc
giảm,337.0,-0.029867035192101654,-0.6047636475939884,-0.12278658398823028,0.09291954879612863
tăng,935.0,0.14868086415285275,1.1986320922554465,0.42705958118678766,-0.2783787170339349
đi ngang,131.0,0.039051452001445996,0.005222573769422835,-0.19275900810462065,0.23181046010606665
