,Alpha quy năm,t-stat của alpha,p-value của alpha,R²,Số quan sát,β thị trường,β FPT,β tỷ giá USD/VND,β dầu WTI,β vàng,β S&P 500
CAPM (thị trường),0.019775706408928916,0.6121863689005851,0.5404144591351285,0.37873679820045203,1403.0,0.2860134465003154,,,,,
CAPM mở rộng với lợi suất FPT,-0.020489012387561716,-1.6743086815870425,0.09406994917521395,0.8984684350050556,1403.0,0.016700454564464288,0.2989464539811906,,,,
APT đa nhân tố,-0.020070113166051295,-1.617102096227514,0.10585624447107583,0.8985512607870828,1403.0,0.016957522259745318,0.2990447411468546,0.004899826379054942,-0.0018482869720306857,0.0001200921804540827,-0.0017935251156733587
