Giai đoạn,Số phiên,CAGR,Độ biến động,Sharpe,Sortino,Sụt giảm tối đa
train,2456,0.07140572749185359,0.30834132000522185,0.23480739874498036,0.35074770566496993,-0.7548476454293633
valid,737,0.16060268936918032,0.26951188400231535,0.5244430346943356,0.7112805143300396,-0.33762649494020314
test,1403,0.2038583343026137,0.2882606947438179,0.6348568823331954,0.9387871161537896,-0.5210963966738534
toàn kỳ,4622,0.13372455867597655,0.2959459465866945,0.4232189181572901,0.6209240384693502,-0.7548476454293633
