Nhịp đảo vị thế,Số lệnh mỗi năm,CAGR trước phí,CAGR sau phí,Chi phí bào mòn mỗi năm,Sharpe sau phí
mỗi phiên,84.0,0.12656439018234855,-0.08715101796302877,0.21371540814537732,-0.5409210291713163
mỗi tuần,50.417948717948725,0.12259004545471071,-0.010497128637394193,0.1330871740921049,-0.16255736314006652
mỗi tháng,12.671794871794873,0.12529198542998157,0.0902152543494559,0.03507673108052567,0.28678143048893634
mỗi quý,4.283760683760684,0.12599406443916486,0.11402935725333603,0.01196470718582883,0.41987304033711287
