,Sharpe,CAGR,Lệnh mỗi năm,Phiên giữa hai lệnh,Quy mô lệnh trung bình,Tổng chi phí giao dịch
ép mỗi phiên,0.4477801866753878,0.08366468669259941,147.71794871794873,1.7059538274605104,0.03156790750969199,0.06484821969576365
ép mỗi tuần,0.46590489126016044,0.0857041032098409,51.69230769230769,4.875,0.0498431817285189,0.035832337953092694
ép mỗi tháng,0.5611213624837746,0.09557709876013254,25.666666666666668,9.818181818181818,0.05750579442223734,0.020494337927861615
"vùng cố định τ = 0,05",0.47570077019401574,0.08654243474045198,46.30769230769231,5.441860465116279,0.07255582400231039,0.04668763992375813
"vùng cố định τ = 0,15",0.4483096276765291,0.08499461754526849,21.897435897435898,11.508196721311476,0.061356732248069,0.01867116041624079
"vùng cố định τ = 0,30",0.4675140327040822,0.08958962396077896,18.48717948717949,13.631067961165048,0.029561530270289144,0.007475243390327879
vùng học được (ATFN-ABCD),0.5259755002725099,0.0927200716265506,65.51282051282051,3.8465753424657536,0.03963267580794897,0.036071827856511085
